"m.z"	"p.value"	"t.score"	"r.t"
269.01318	0.638995069	0.62	5.181
154.92697	0.643868985	0.4	4.703
196.00965	0.644619156	0.11	0.241
146.98179	0.645006113	5.17	16.244
243.95578	0.649172044	-0.84	7.495
205.07063	0.649576891	-3.94	14.899
205.07064	0.649696252	-0.85	8.134
315.99622	0.650838879	0.72	8.082
304.92296	0.650844381	0.2	1.625
301.02004	0.653518416	0.58	20.269
286.01731	0.657152744	0.83	3.206
154.92699	0.659769933	-0.08	8.274
255.00329	0.659929172	-0.15	7.325
199.13289	0.660761322	0.06	7.558
345.14665	0.661076774	-1	7.139
316.98027	0.661856015	3.9	16.195
282.96749	0.663623489	1.49	16.397
298.96238	0.665130138	0.16	12.276
209.15361	0.66685039	0.4	1.688
153.0157	0.673151758	0.66	1.609
259.04072	0.67450116	0.4	7.799
282.95227	0.676194162	0.22	4.653
188.96141	0.676755091	-0.65	7.412
352.86045	0.676795483	-0.79	7.157
277.03227	0.676964227	-0.22	14.799
360.92988	0.677903979	-0.33	14.829
462.98876	0.678695403	-0.82	7.108
144.96047	0.679297247	0.87	3.495
314.89528	0.680778809	0.44	16.404
292.89072	0.681701508	-1.45	8.046
228.07272	0.681835458	-0.64	14.818
314.89528	0.683846575	0.22	1.64
190.97176	0.68504904	0.31	16.434
226.05709	0.685268801	3.19	16.187
193.01238	0.686782571	-0.39	14.848
235.99064	0.686947825	-0.3	15.234
181.01138	0.687605502	-0.67	7.548
198.99779	0.689875846	0.13	11.437
172.02419	0.690171782	-0.62	0.241
152.00101	0.691050441	0.21	15.297
285.03337	0.691722148	0.14	10.353
522.05551	0.695377184	-0.28	14.845
178.94848	0.696215746	0.46	10.325
306.04438	0.696962129	0.75	1.65
372.15578	0.697319729	0.63	3.878
319.98726	0.69843946	-0.69	7.189
317.92149	0.699136556	0.14	7.933
340.92082	0.69962775	-0.72	8.152
189.00187	0.7003235	-1.42	8.057
188.97373	0.701178148	-0.61	7.345
428.92451	0.702018974	0.76	11.59
412.87252	0.702807525	-0.25	11.328
462.18372	0.702905933	0.19	12.276
450.79967	0.703343294	-0.62	8.345
409.14496	0.703624372	2.41	11.991
595.10969	0.707786568	0.23	11.037
434.82555	0.711652886	-0.61	6.525
216.08673	0.712106058	0.52	10.529
317.11119	0.713934246	-0.68	24.58
390.89965	0.71818552	0.96	19.05
337.06191	0.720882414	-0.95	7.071
390.89965	0.721758998	0.77	7.032
151.01869	0.721886629	0.4	4.698
267.02507	0.722201214	-1.1	7.098
221.02928	0.722708595	0.19	1.514
426.98756	0.722766817	-0.77	12.229
412.8816	0.72307918	0.05	1.677
223.04493	0.724209263	0.42	0.169
179.01758	0.724422754	0.91	11.282
371.07005	0.725564979	0.22	10.084
271.00321	0.727617751	-0.84	7.051
176.95872	0.727910406	0.76	16.156
154.01671	0.728378882	-0.64	7.177
172.02157	0.728407923	0.55	1.616
176.95872	0.729086971	-1.04	6.958
204.99278	0.729990838	0.08	1.639
178.96217	0.730313563	0.96	1.711
259.01785	0.73135144	0.02	1.661
220.95531	0.731618154	0.37	1.628
220.02881	0.733422416	0.23	10.336
222.93756	0.735784043	0.09	1.665
174.97678	0.737136132	0.13	1.627
176.95873	0.737721084	0.35	7.945
383.11667	0.737757787	0.39	4.706
236.02504	0.739157257	0.52	11.309
204.99279	0.740171573	0.54	5.122
440.92471	0.741743497	0.11	7.985
433.02055	0.742376438	-0.62	7.154
356.9891	0.742388777	0.03	3.777
548.10351	0.742647418	0.31	1.626
521.033	0.74296574	0.14	12.273
241.08365	0.743811835	0.72	6.05
483.98012	0.745317402	0.43	1.615
233.04653	0.745824278	-0.54	7.226
314.87264	0.74583529	0.09	1.645
252.96271	0.74832241	0.81	3.696
354.06223	0.748447848	0.35	1.698
244.99629	0.748779779	0.59	15.271
342.91026	0.749563138	-0.51	12.303
216.90446	0.751925914	-0.77	7.082
545.97135	0.751983523	0.32	1.632
218.00943	0.752275171	0.37	4.429
150.96123	0.753722658	1.12	19.032
472.78145	0.754503402	1.15	16.248
222.98646	0.758536594	5.97	16.191
245.0518	0.758734348	-0.04	10.95
194.9916	0.759051279	-0.93	8.129
448.00356	0.759253648	1.09	10.077
166.01674	0.761066532	-0.48	14.834
245.07696	0.763232109	5.1	16.179
302.98016	0.765084155	0.41	5.899
266.94554	0.765927803	0.69	12.931
245.0271	0.766855931	0.5	19.056
222.09741	0.76884454	-0.53	15.283
222.93765	0.773783247	1.35	1.632
376.13723	0.778894743	0.22	1.634
266.02864	0.781064326	0.09	16.436
194.93876	0.781343475	0.22	15.299
387.04405	0.781758905	-0.51	7.927
252.94049	0.782506789	-0.57	4.674
537.99912	0.784317462	-0.52	14.822
515.99185	0.784806213	-0.48	14.829
423.071	0.784836179	-0.84	7.075
